"Hôpital Cavale 2, Brest ",,05h45 ,06h00 ,06h14 ,06h24 ,06h32 ,06h41 ,06h48 ,06h55 ,07h02 ,07h09 ,07h16 ,07h23 ,07h31 ,07h40 ,07h48 ,07h58 ,08h06 ,08h14 ,08h22 ,08h30 ,08h39 ,08h49 ,08h59 ,09h09 ,09h20 ,09h30 ,09h40 ,09h50 ,10h00 ,10h10 ,10h20 ,10h30 ,10h40 ,10h50 ,11h00 ,11h10 ,11h20 ,11h30 ,11h40 ,11h49 ,11h54 ,12h03 ,12h13 ,12h24 ,12h35 ,12h45 ,12h55 ,13h04 ,13h13 ,13h21 ,13h29 ,13h37 ,13h45 ,13h53 
"Malakoff, Brest ",,05h56 ,06h11 ,06h26 ,06h36 ,06h44 ,06h53 ,07h02 ,07h09 ,07h16 ,07h23 ,07h31 ,07h38 ,07h46 ,07h55 ,08h03 ,08h13 ,08h21 ,08h29 ,08h37 ,08h45 ,08h54 ,09h04 ,09h14 ,09h24 ,09h35 ,09h45 ,09h55 ,10h05 ,10h15 ,10h25 ,10h35 ,10h45 ,10h55 ,11h05 ,11h15 ,11h25 ,11h35 ,11h45 ,11h55 ,12h04 ,12h10 ,12h20 ,12h30 ,12h40 ,12h50 ,13h00 ,13h10 ,13h20 ,13h29 ,13h37 ,13h45 ,13h52 ,14h00 ,14h08 
"Hôtel de Ville, Brest ",,05h58 ,06h13 ,06h28 ,06h38 ,06h46 ,06h55 ,07h04 ,07h11 ,07h19 ,07h26 ,07h34 ,07h41 ,07h49 ,07h58 ,08h06 ,08h16 ,08h24 ,08h32 ,08h40 ,08h48 ,08h57 ,09h07 ,09h17 ,09h27 ,09h38 ,09h48 ,09h58 ,10h08 ,10h18 ,10h28 ,10h38 ,10h48 ,10h58 ,11h08 ,11h18 ,11h28 ,11h38 ,11h48 ,11h58 ,12h07 ,12h13 ,12h23 ,12h33 ,12h43 ,12h53 ,13h03 ,13h13 ,13h23 ,13h32 ,13h40 ,13h48 ,13h55 ,14h03 ,14h11 
"Liberté Place, Brest ",,05h59 ,06h14 ,06h29 ,06h39 ,06h47 ,06h56 ,07h05 ,07h12 ,07h20 ,07h27 ,07h35 ,07h42 ,07h50 ,07h59 ,08h08 ,08h18 ,08h26 ,08h34 ,08h42 ,08h50 ,08h59 ,09h09 ,09h19 ,09h29 ,09h39 ,09h49 ,09h59 ,10h09 ,10h19 ,10h29 ,10h39 ,10h49 ,10h59 ,11h09 ,11h19 ,11h29 ,11h39 ,11h49 ,11h59 ,12h09 ,12h14 ,12h24 ,12h34 ,12h44 ,12h54 ,13h04 ,13h14 ,13h24 ,13h33 ,13h41 ,13h49 ,13h56 ,14h04 ,14h12 
"Liberté Quartz, Brest ",,06h00 ,06h15 ,06h30 ,06h40 ,06h48 ,06h57 ,07h06 ,07h13 ,07h21 ,07h28 ,07h36 ,07h43 ,07h51 ,08h00 ,08h09 ,08h19 ,08h27 ,08h35 ,08h43 ,08h51 ,09h00 ,09h10 ,09h20 ,09h30 ,09h40 ,09h50 ,10h00 ,10h10 ,10h20 ,10h30 ,10h40 ,10h50 ,11h00 ,11h10 ,11h20 ,11h30 ,11h40 ,11h50 ,12h00 ,12h10 ,12h15 ,12h25 ,12h35 ,12h45 ,12h55 ,13h05 ,13h15 ,13h25 ,13h34 ,13h42 ,13h50 ,13h57 ,14h05 ,14h13 
"Kennedy gare, Brest ",,06h01 ,06h16 ,06h31 ,06h41 ,06h49 ,06h58 ,07h07 ,07h14 ,07h22 ,07h29 ,07h38 ,07h45 ,07h52 ,08h01 ,08h10 ,08h20 ,08h28 ,08h36 ,08h44 ,08h52 ,09h01 ,09h11 ,09h21 ,09h31 ,09h41 ,09h51 ,10h01 ,10h11 ,10h21 ,10h31 ,10h41 ,10h51 ,11h01 ,11h11 ,11h21 ,11h31 ,11h41 ,11h51 ,12h02 ,12h12 ,12h17 ,12h26 ,12h36 ,12h46 ,12h56 ,13h06 ,13h16 ,13h26 ,13h35 ,13h43 ,13h51 ,13h58 ,14h06 ,14h14 
"Gare SNCF, Brest ",,06h02 ,06h17 ,06h32 ,06h42 ,06h50 ,06h59 ,07h08 ,07h15 ,07h23 ,07h30 ,07h39 ,07h46 ,07h53 ,08h02 ,08h11 ,08h21 ,08h29 ,08h37 ,08h45 ,08h53 ,09h02 ,09h12 ,09h22 ,09h32 ,09h42 ,09h52 ,10h02 ,10h12 ,10h22 ,10h32 ,10h42 ,10h52 ,11h02 ,11h12 ,11h22 ,11h32 ,11h42 ,11h52 ,12h03 ,12h13 ,12h18 ,12h27 ,12h37 ,12h47 ,12h57 ,13h07 ,13h17 ,13h27 ,13h36 ,13h44 ,13h52 ,13h59 ,14h07 ,14h15 
"Kennedy Gare, Brest ",,06h02 ,06h17 ,06h32 ,06h42 ,06h50 ,06h59 ,07h08 ,07h15 ,07h24 ,07h31 ,07h40 ,07h47 ,07h54 ,08h03 ,08h12 ,08h22 ,08h30 ,08h38 ,08h46 ,08h54 ,09h03 ,09h13 ,09h23 ,09h33 ,09h43 ,09h53 ,10h03 ,10h13 ,10h23 ,10h33 ,10h43 ,10h53 ,11h03 ,11h13 ,11h23 ,11h33 ,11h43 ,11h53 ,12h04 ,12h14 ,12h19 ,12h28 ,12h38 ,12h48 ,12h58 ,13h08 ,13h18 ,13h28 ,13h37 ,13h45 ,13h53 ,14h00 ,14h08 ,14h16 
"Rampes, Brest ",,06h04 ,06h19 ,06h34 ,06h44 ,06h52 ,07h01 ,07h10 ,07h17 ,07h26 ,07h33 ,07h42 ,07h49 ,07h56 ,08h05 ,08h14 ,08h24 ,08h32 ,08h40 ,08h48 ,08h56 ,09h05 ,09h15 ,09h25 ,09h35 ,09h45 ,09h55 ,10h05 ,10h15 ,10h25 ,10h35 ,10h45 ,10h55 ,11h05 ,11h15 ,11h25 ,11h35 ,11h45 ,11h55 ,12h06 ,12h16 ,12h21 ,12h30 ,12h40 ,12h50 ,13h00 ,13h10 ,13h20 ,13h30 ,13h39 ,13h47 ,13h55 ,14h02 ,14h10 ,14h18 
"Musée de la Marine, Brest ",,06h05 ,06h20 ,06h35 ,06h45 ,06h53 ,07h02 ,07h11 ,07h18 ,07h27 ,07h34 ,07h43 ,07h50 ,07h57 ,08h06 ,08h15 ,08h25 ,08h33 ,08h41 ,08h49 ,08h57 ,09h06 ,09h16 ,09h26 ,09h36 ,09h46 ,09h56 ,10h06 ,10h16 ,10h26 ,10h36 ,10h46 ,10h56 ,11h06 ,11h16 ,11h26 ,11h36 ,11h46 ,11h56 ,12h07 ,12h17 ,12h22 ,12h31 ,12h41 ,12h51 ,13h01 ,13h11 ,13h21 ,13h31 ,13h40 ,13h48 ,13h56 ,14h03 ,14h11 ,14h19 
"Français Libres, Brest ",,06h06 ,06h21 ,06h36 ,06h46 ,06h54 ,07h03 ,07h12 ,07h19 ,07h28 ,07h35 ,07h44 ,07h51 ,07h58 ,08h07 ,08h16 ,08h26 ,08h34 ,08h42 ,08h50 ,08h58 ,09h07 ,09h17 ,09h27 ,09h37 ,09h47 ,09h57 ,10h07 ,10h17 ,10h27 ,10h37 ,10h47 ,10h57 ,11h07 ,11h17 ,11h27 ,11h37 ,11h47 ,11h57 ,12h08 ,12h18 ,12h23 ,12h32 ,12h42 ,12h52 ,13h02 ,13h12 ,13h22 ,13h32 ,13h41 ,13h49 ,13h57 ,14h04 ,14h12 ,14h20 
"Recouvrance, Brest ",,06h08 ,06h23 ,06h38 ,06h48 ,06h56 ,07h06 ,07h15 ,07h23 ,07h32 ,07h38 ,07h47 ,07h54 ,08h01 ,08h09 ,08h18 ,08h28 ,08h36 ,08h44 ,08h52 ,09h00 ,09h09 ,09h19 ,09h29 ,09h39 ,09h49 ,09h59 ,10h09 ,10h19 ,10h29 ,10h39 ,10h49 ,10h59 ,11h09 ,11h19 ,11h29 ,11h39 ,11h49 ,11h59 ,12h10 ,12h20 ,12h25 ,12h34 ,12h44 ,12h54 ,13h04 ,13h14 ,13h24 ,13h34 ,13h43 ,13h51 ,13h59 ,14h06 ,14h14 ,14h22 
"Maissin, Brest ",,06h09 ,06h24 ,06h40 ,06h50 ,06h58 ,07h07 ,07h16 ,07h25 ,07h33 ,07h40 ,07h49 ,07h56 ,08h03 ,08h11 ,08h20 ,08h30 ,08h38 ,08h46 ,08h54 ,09h02 ,09h11 ,09h21 ,09h31 ,09h41 ,09h51 ,10h01 ,10h11 ,10h21 ,10h31 ,10h41 ,10h51 ,11h01 ,11h11 ,11h21 ,11h31 ,11h41 ,11h51 ,12h01 ,12h12 ,12h22 ,12h27 ,12h36 ,12h46 ,12h56 ,13h06 ,13h16 ,13h26 ,13h36 ,13h45 ,13h53 ,14h01 ,14h08 ,14h16 ,14h24 
"Javouhey, Brest ",,06h09 ,06h24 ,06h40 ,06h50 ,06h58 ,07h08 ,07h17 ,07h26 ,07h34 ,07h41 ,07h50 ,07h57 ,08h04 ,08h11 ,08h20 ,08h30 ,08h38 ,08h46 ,08h54 ,09h02 ,09h11 ,09h21 ,09h31 ,09h41 ,09h51 ,10h01 ,10h11 ,10h21 ,10h31 ,10h41 ,10h51 ,11h01 ,11h11 ,11h21 ,11h31 ,11h41 ,11h51 ,12h01 ,12h12 ,12h22 ,12h27 ,12h36 ,12h46 ,12h56 ,13h06 ,13h16 ,13h26 ,13h36 ,13h45 ,13h53 ,14h01 ,14h08 ,14h16 ,14h24 
"Loti, Brest ",,06h10 ,06h25 ,06h42 ,06h52 ,07h00 ,07h10 ,07h19 ,07h28 ,07h36 ,07h42 ,07h51 ,07h58 ,08h05 ,08h13 ,08h22 ,08h32 ,08h40 ,08h48 ,08h56 ,09h04 ,09h13 ,09h23 ,09h33 ,09h43 ,09h53 ,10h03 ,10h13 ,10h23 ,10h33 ,10h43 ,10h53 ,11h03 ,11h13 ,11h23 ,11h33 ,11h43 ,11h53 ,12h03 ,12h14 ,12h24 ,12h29 ,12h38 ,12h48 ,12h58 ,13h08 ,13h18 ,13h28 ,13h38 ,13h47 ,13h55 ,14h03 ,14h10 ,14h18 ,14h26 
"Franchet D'esperey, Brest ",,06h11 ,06h26 ,06h43 ,06h53 ,07h01 ,07h11 ,07h20 ,07h29 ,07h38 ,07h44 ,07h53 ,08h00 ,08h07 ,08h14 ,08h23 ,08h33 ,08h41 ,08h49 ,08h57 ,09h05 ,09h14 ,09h24 ,09h34 ,09h44 ,09h54 ,10h04 ,10h14 ,10h24 ,10h34 ,10h44 ,10h54 ,11h04 ,11h14 ,11h24 ,11h34 ,11h44 ,11h54 ,12h04 ,12h15 ,12h25 ,12h30 ,12h39 ,12h49 ,12h59 ,13h09 ,13h19 ,13h29 ,13h39 ,13h48 ,13h56 ,14h04 ,14h11 ,14h19 ,14h27 
"Kerangoff, Brest ",,06h12 ,06h27 ,06h44 ,06h54 ,07h02 ,07h12 ,07h21 ,07h31 ,07h39 ,07h45 ,07h54 ,08h01 ,08h08 ,08h15 ,08h24 ,08h34 ,08h42 ,08h50 ,08h58 ,09h06 ,09h15 ,09h25 ,09h35 ,09h45 ,09h55 ,10h05 ,10h15 ,10h25 ,10h35 ,10h45 ,10h55 ,11h05 ,11h15 ,11h25 ,11h35 ,11h45 ,11h55 ,12h05 ,12h16 ,12h26 ,12h31 ,12h40 ,12h50 ,13h00 ,13h10 ,13h20 ,13h30 ,13h40 ,13h49 ,13h57 ,14h05 ,14h12 ,14h20 ,14h28 
"Paul Bert, Brest ",,06h13 ,06h28 ,06h45 ,06h55 ,07h03 ,07h13 ,07h22 ,07h32 ,07h40 ,07h46 ,07h55 ,08h02 ,08h09 ,08h16 ,08h25 ,08h35 ,08h43 ,08h51 ,08h59 ,09h07 ,09h16 ,09h26 ,09h36 ,09h46 ,09h56 ,10h06 ,10h16 ,10h26 ,10h36 ,10h46 ,10h56 ,11h06 ,11h16 ,11h26 ,11h36 ,11h46 ,11h56 ,12h06 ,12h17 ,12h27 ,12h32 ,12h41 ,12h51 ,13h01 ,13h11 ,13h21 ,13h31 ,13h41 ,13h50 ,13h58 ,14h06 ,14h13 ,14h21 ,14h29 
"Kerbonne, Brest ",,06h13 ,06h28 ,06h45 ,06h55 ,07h04 ,07h14 ,07h23 ,07h33 ,07h41 ,07h47 ,07h56 ,08h03 ,08h10 ,08h17 ,08h26 ,08h36 ,08h44 ,08h52 ,09h00 ,09h08 ,09h17 ,09h27 ,09h37 ,09h47 ,09h57 ,10h07 ,10h17 ,10h27 ,10h37 ,10h47 ,10h57 ,11h07 ,11h17 ,11h27 ,11h37 ,11h47 ,11h57 ,12h07 ,12h18 ,12h28 ,12h33 ,12h42 ,12h52 ,13h02 ,13h12 ,13h22 ,13h32 ,13h42 ,13h51 ,13h59 ,14h07 ,14h14 ,14h22 ,14h30 
"Cosmao Prêtôt, Brest ",,06h14 ,06h29 ,06h46 ,06h56 ,07h04 ,07h14 ,07h23 ,07h34 ,07h42 ,07h48 ,07h57 ,08h04 ,08h11 ,08h18 ,08h27 ,08h37 ,08h45 ,08h53 ,09h00 ,09h08 ,09h17 ,09h27 ,09h37 ,09h47 ,09h57 ,10h07 ,10h17 ,10h27 ,10h37 ,10h47 ,10h57 ,11h07 ,11h17 ,11h27 ,11h38 ,11h48 ,11h58 ,12h08 ,12h19 ,12h28 ,12h33 ,12h42 ,12h52 ,13h02 ,13h12 ,13h22 ,13h33 ,13h43 ,13h52 ,14h00 ,14h08 ,14h15 ,14h23 ,14h31 
"Castel An Daol, Brest ",,06h15 ,06h30 ,06h47 ,06h57 ,07h05 ,07h15 ,07h24 ,07h35 ,07h43 ,07h49 ,07h58 ,08h05 ,08h12 ,08h19 ,08h28 ,08h38 ,08h46 ,08h54 ,09h01 ,09h09 ,09h18 ,09h28 ,09h38 ,09h48 ,09h58 ,10h08 ,10h18 ,10h28 ,10h38 ,10h48 ,10h58 ,11h08 ,11h18 ,11h28 ,11h39 ,11h49 ,11h59 ,12h09 ,12h20 ,12h29 ,12h34 ,12h43 ,12h53 ,13h03 ,13h13 ,13h23 ,13h34 ,13h44 ,13h53 ,14h01 ,14h09 ,14h16 ,14h24 ,14h32 
"Bourayne, Brest ",,06h16 ,06h31 ,06h48 ,06h58 ,07h07 ,07h17 ,07h26 ,07h36 ,07h44 ,07h50 ,07h59 ,08h06 ,08h13 ,08h20 ,08h29 ,08h39 ,08h47 ,08h55 ,09h03 ,09h11 ,09h20 ,09h30 ,09h40 ,09h50 ,10h00 ,10h10 ,10h20 ,10h30 ,10h40 ,10h50 ,11h00 ,11h10 ,11h20 ,11h30 ,11h40 ,11h50 ,12h00 ,12h10 ,12h21 ,12h31 ,12h36 ,12h45 ,12h55 ,13h05 ,13h15 ,13h25 ,13h35 ,13h45 ,13h54 ,14h02 ,14h10 ,14h17 ,14h25 ,14h33 
"Kerzudal, Brest ",,06h17 ,06h32 ,06h50 ,07h00 ,07h08 ,07h18 ,07h27 ,07h38 ,07h46 ,07h52 ,08h01 ,08h08 ,08h15 ,08h22 ,08h31 ,08h41 ,08h49 ,08h57 ,09h04 ,09h12 ,09h21 ,09h31 ,09h41 ,09h51 ,10h01 ,10h11 ,10h21 ,10h31 ,10h41 ,10h51 ,11h01 ,11h11 ,11h21 ,11h31 ,11h42 ,11h52 ,12h02 ,12h12 ,12h23 ,12h32 ,12h37 ,12h46 ,12h56 ,13h06 ,13h16 ,13h26 ,13h37 ,13h47 ,13h56 ,14h04 ,14h12 ,14h19 ,14h27 ,14h35 
"St Pierre, Brest ",,06h18 ,06h33 ,06h51 ,07h01 ,07h10 ,07h20 ,07h29 ,07h40 ,07h48 ,07h54 ,08h03 ,08h10 ,08h17 ,08h24 ,08h33 ,08h43 ,08h51 ,08h59 ,09h06 ,09h14 ,09h23 ,09h33 ,09h43 ,09h53 ,10h03 ,10h13 ,10h23 ,10h33 ,10h43 ,10h53 ,11h03 ,11h13 ,11h23 ,11h33 ,11h44 ,11h54 ,12h04 ,12h14 ,12h25 ,12h34 ,12h39 ,12h48 ,12h58 ,13h08 ,13h18 ,13h28 ,13h39 ,13h49 ,13h58 ,14h06 ,14h14 ,14h21 ,14h29 ,14h37 
"Panier Fleuri, Brest ",,06h19 ,06h34 ,06h52 ,07h02 ,07h11 ,07h21 ,07h30 ,07h40 ,07h48 ,07h54 ,08h03 ,08h10 ,08h17 ,08h24 ,08h33 ,08h43 ,08h51 ,08h59 ,09h07 ,09h15 ,09h24 ,09h34 ,09h44 ,09h54 ,10h04 ,10h14 ,10h24 ,10h34 ,10h44 ,10h54 ,11h04 ,11h14 ,11h24 ,11h34 ,11h44 ,11h54 ,12h04 ,12h14 ,12h25 ,12h35 ,12h40 ,12h49 ,12h59 ,13h09 ,13h19 ,13h29 ,13h39 ,13h49 ,13h58 ,14h06 ,14h14 ,14h21 ,14h29 ,14h37 
"Fort Montbarey, Brest ",,06h20 ,06h35 ,06h53 ,07h03 ,07h12 ,07h22 ,07h31 ,07h42 ,07h50 ,07h56 ,08h05 ,08h12 ,08h19 ,08h26 ,08h35 ,08h45 ,08h53 ,09h01 ,09h08 ,09h16 ,09h25 ,09h35 ,09h45 ,09h55 ,10h05 ,10h15 ,10h25 ,10h35 ,10h45 ,10h55 ,11h05 ,11h15 ,11h25 ,11h35 ,11h46 ,11h56 ,12h06 ,12h16 ,12h27 ,12h36 ,12h41 ,12h50 ,13h00 ,13h10 ,13h20 ,13h30 ,13h41 ,13h51 ,14h00 ,14h08 ,14h16 ,14h23 ,14h31 ,14h39 
